,Target
36512,0
9371,0
67392,0
75615,0
16145,0
9245,0
107661,0
18178,0
34809,0
20467,0
125618,0
60720,0
96268,0
27497,0
80877,0
9547,0
65573,0
21302,0
23682,0
58747,0
130776,1
40458,0
13430,0
93378,0
8355,0
89650,0
42343,0
20513,0
14293,0
35472,0
6806,0
39250,0
94198,0
104603,0
11335,0
34398,0
116195,0
6798,0
84820,0
8318,0
75820,0
34478,0
109372,0
84775,0
10554,0
41972,0
38188,0
58026,0
81673,0
32394,0
25894,0
28027,0
34461,0
27413,0
22910,0
36097,0
30783,0
119671,0
483,0
97636,0
126439,0
124480,0
69764,0
123782,0
83559,0
78380,0
41965,0
8801,0
30497,0
120258,0
117221,0
119521,0
20760,0
118309,0
114181,0
97803,0
85934,0
38390,0
12343,0
60425,0
53951,0
125516,0
98006,0
41967,0
43675,0
88314,0
127515,0
103779,0
102764,0
6080,0
2961,0
76056,0
104439,0
80152,0
124433,0
22851,0
126950,0
69407,0
29987,0
27232,0
90277,0
40128,0
131317,1
5249,0
58229,0
9682,0
114049,0
73784,0
127953,1
40466,0
67761,0
38914,0
24449,0
93130,0
129538,1
112144,0
55628,0
110189,0
13614,0
112080,0
10809,0
102921,0
96111,0
125145,0
122168,0
6747,0
73368,0
7265,0
43764,0
99077,0
102100,0
119780,0
88801,0
57045,0
63170,0
23159,0
119016,0
30656,0
72345,0
36010,0
107360,0
44431,0
39676,0
102812,0
73238,0
98566,0
96485,0
74793,0
32382,0
8885,0
55013,0
30058,0
39320,0
11606,0
45660,0
50764,0
86442,0
17447,0
48464,0
5448,0
59399,0
49006,0
78073,0
57231,0
95073,0
59255,0
65394,0
21903,0
110030,0
96503,0
127175,0
8880,0
91574,0
125608,0
115209,0
19143,0
70465,0
47822,0
120189,0
41710,0
63378,0
25701,0
12903,0
90199,0
128322,1
47598,0
41382,0
85735,0
106731,0
118319,0
45981,0
40587,0
60432,0
32354,0
95314,0
79840,0
129069,1
24746,0
126471,0
6053,0
104561,0
27292,0
110195,0
12511,0
98300,0
118338,0
118352,0
45378,0
53915,0
37830,0
3282,0
81478,0
116601,0
35710,0
69018,0
16644,0
33777,0
10649,0
10090,0
20928,0
121130,0
62492,0
95176,0
75837,0
10028,0
71792,0
12233,0
124458,0
86570,0
104081,0
61338,0
22386,0
123429,0
73535,0
105116,0
53914,0
22277,0
101216,0
130879,1
64322,0
3924,0
73245,0
116953,0
56098,0
49530,0
100368,0
50888,0
60781,0
43127,0
18674,0
88063,0
96282,0
24285,0
111675,0
30953,0
93220,0
111793,0
50062,0
63039,0
48332,0
70864,0
30580,0
126421,0
130611,1
80707,0
105201,0
117352,0
98914,0
27487,0
11105,0
77786,0
9002,0
12271,0
96729,0
67773,0
50995,0
125712,0
58954,0
69002,0
4283,0
90799,0
42434,0
112617,0
35726,0
57794,0
69169,0
3292,0
